Student_ID,Age,Gender,Program,Semester,Exam_Score,Study_Hours_Per_Week,session_id,session_date,session_program,session_semester,status
1.0,22.0,Female,Computer Science,2.0,69.6,11.6,SES-2013,10/22/2023,Education,2,Present
49999.0,18.0,Male,Computer Science,7.0,70.81,10.8,SES-2002,11/2/2023,Computer Science,2,Present
49997.0,19.0,Male,Computer Science,7.0,70.81,10.8,SES-2046,2/11/2024,Computer Science,4,Present
49997.0,19.0,Male,Computer Science,7.0,70.81,10.8,SES-2045,7/4/2024,Education,8,Present
49997.0,19.0,Male,Education,4.0,53.99,11.5,SES-2001,2/5/2024,Computer Science,4,Present
49997.0,19.0,Male,Education,4.0,53.99,11.5,SES-2049,4/17/2024,Education,6,Present
49995.0,23.0,Male,Education,4.0,53.99,11.5,SES-2005,5/15/2024,Engineering,7,Absent
49995.0,23.0,Male,Education,4.0,53.99,11.5,SES-2043,5/18/2024,Education,7,Present
49995.0,23.0,Female,Business,2.0,73.54,12.2,SES-2035,11/28/2023,Social Sciences,3,Present
49994.0,22.0,Male,Social Sciences,7.0,63.63,11.0,SES-2008,3/4/2024,Computer Science,4,Present
49994.0,22.0,Male,Social Sciences,7.0,63.63,11.0,SES-2023,4/21/2024,Business,6,Present
49994.0,22.0,Male,Social Sciences,7.0,63.63,11.0,SES-2031,7/18/2024,Computer Science,8,Present
49993.0,20.0,Male,Social Sciences,7.0,63.63,11.0,SES-2037,10/16/2023,Computer Science,1,Present
49993.0,20.0,Male,Social Sciences,7.0,63.63,11.0,SES-2009,5/12/2024,Social Sciences,7,Absent
49989.0,19.0,Male,Business,7.0,47.29,8.8,SES-2021,2/26/2024,Social Sciences,4,Present
49989.0,19.0,Male,Business,7.0,47.29,8.8,SES-2038,11/27/2023,Social Sciences,2,Absent
49987.0,22.0,Male,Business,4.0,77.79,8.2,SES-2047,2/1/2024,Computer Science,4,Absent
49987.0,22.0,Male,Business,4.0,77.79,8.2,SES-2014,3/28/2024,Education,5,Present
49986.0,21.0,Male,Business,4.0,77.79,8.2,SES-2010,3/24/2024,Business,5,Present
49986.0,21.0,Female,Engineering,5.0,44.77,7.8,SES-2033,11/14/2023,Education,2,Present
49986.0,21.0,Female,Engineering,5.0,44.77,7.8,SES-2025,11/24/2023,Engineering,3,Absent
49985.0,24.0,Female,Engineering,5.0,44.77,7.8,SES-2029,10/21/2023,Education,2,Absent
49985.0,24.0,Female,Engineering,5.0,44.77,7.8,SES-2047,2/1/2024,Computer Science,4,Absent
49982.0,20.0,Female,Business,7.0,71.2,7.9,SES-2025,11/24/2023,Engineering,3,Present
49982.0,20.0,Female,Business,7.0,71.2,7.9,SES-2000,10/24/2023,Social Sciences,2,Absent
49977.0,20.0,Female,Business,1.0,56.89,6.2,SES-2021,2/26/2024,Social Sciences,4,Absent
49977.0,20.0,Male,Computer Science,2.0,63.53,6.8,SES-2012,4/19/2024,Education,5,Present
49977.0,20.0,Male,Computer Science,2.0,63.53,6.8,SES-2031,7/18/2024,Computer Science,8,Present
49977.0,20.0,Male,Engineering,2.0,64.93,3.9,SES-2038,11/27/2023,Social Sciences,2,Absent
49976.0,25.0,Male,Engineering,2.0,64.93,3.9,SES-2030,5/13/2024,Business,7,Absent
49976.0,25.0,Male,Social Sciences,2.0,72.26,5.0,SES-2020,3/27/2024,Computer Science,4,Present
49976.0,25.0,Male,Social Sciences,2.0,72.26,5.0,SES-2012,4/19/2024,Education,5,Present
