Student_ID,Age,Gender,Program,Semester,Exam_Score,Study_Hours_Per_Week,session_id,session_date,session_program,session_semester,status
1,22,Female,Computer Science,2,69.6,11.6,SES-2013,10/22/2023,Education,2,Present
50000,,Female,Computer Science,2,69.6,11.6,SES-2039,2/8/2024,Engineering,4,Present
50000,,Female,Computer Science,2,69.6,11.6,SES-2030,5/13/2024,Business,7,Present
50000,,Male,Computer Science,7,70.81,10.8,SES-2029,10/21/2023,Education,2,Present
50000,,Male,Computer Science,7,70.81,10.8,SES-2038,11/27/2023,Social Sciences,2,Present
49999,18,Male,Computer Science,7,70.81,10.8,SES-2002,11/2/2023,Computer Science,2,Present
49997,19,Male,Computer Science,7,70.81,10.8,SES-2046,2/11/2024,Computer Science,4,Present
49997,19,Male,Computer Science,7,70.81,10.8,SES-2045,7/4/2024,Education,8,Present
49997,19,Male,Education,4,53.99,11.5,SES-2001,2/5/2024,Computer Science,4,Present
49997,19,Male,Education,4,53.99,11.5,SES-2049,4/17/2024,Education,6,Present
49995,23,Male,Education,4,53.99,11.5,SES-2005,5/15/2024,Engineering,7,Absent
49995,23,Male,Education,4,53.99,11.5,SES-2043,5/18/2024,Education,7,Present
49995,23,Male,Social Sciences,2,84.45,,SES-2049,4/17/2024,Education,6,
49995,23,Female,Business,2,73.54,12.2,SES-2035,11/28/2023,Social Sciences,3,Present
49995,23,,Education,7,55.2,12.2,SES-2035,11/28/2023,Social Sciences,3,Present
49994,22,,Education,7,55.2,12.2,SES-2028,6/25/2024,Computer Science,8,Present
49994,22,,Education,7,55.2,12.2,SES-2012,4/19/2024,Education,5,Present
49994,22,Male,Social Sciences,7,63.63,11,SES-2008,3/4/2024,Computer Science,4,Present
49994,22,Male,Social Sciences,7,63.63,11,SES-2023,4/21/2024,Business,6,Present
49994,22,Male,Social Sciences,7,63.63,11,SES-2031,7/18/2024,Computer Science,8,Present
49993,20,Male,Social Sciences,7,63.63,11,SES-2037,10/16/2023,Computer Science,1,Present
49993,20,Male,Social Sciences,7,63.63,11,SES-2009,5/12/2024,Social Sciences,7,Absent
49993,20,,Computer Science,2,77.86,10.8,SES-2004,9/23/2023,Engineering,1,Present
49992,17,,Computer Science,2,77.86,10.8,SES-2011,11/3/2023,Engineering,2,Absent
49992,17,,Computer Science,2,77.86,10.8,SES-2046,2/11/2024,Computer Science,4,Present
49992,17,,Computer Science,2,77.86,10.8,SES-2040,10/24/2023,Business,2,Present
49992,17,,Engineering,1,83.27,,SES-2034,6/24/2024,Social Sciences,8,
49992,17,,Engineering,1,83.27,,SES-2030,5/13/2024,Business,7,
49991,21,,Engineering,1,83.27,,SES-2037,10/16/2023,Computer Science,1,
49991,21,,Engineering,1,83.27,,SES-2002,11/2/2023,Computer Science,2,
49991,21,,Engineering,1,83.27,,SES-2035,11/28/2023,Social Sciences,3,
